,pathological_score
0,29.0770828688089
1,30.908256413653135
2,34.62266424759548
3,29.72132657533848
4,29.063451939654783
5,36.21855041536719
6,31.779306359175052
7,32.88168086712915
8,29.773299921217244
9,30.25709326210304
10,28.807255622075445
11,28.367725808814725
12,29.529903833912385
13,32.600713082536004
14,29.644963093403476
15,30.72841586240429
16,29.151106431697826
17,29.64970687605728
18,29.823302456014744
19,30.614611874561604
20,29.438197567638724
21,30.719828905506574
22,29.924993560337043
23,32.18228719412082
24,30.704271884519585
25,33.33336766190769
26,31.097445580610383
27,32.66799007137706
28,30.36674750291013
29,27.648099434389906
30,30.032363615526947
31,31.89199361489159
32,30.0650912768333
33,29.540388466296008
34,31.814109896936316
35,30.921519170567535
36,29.474451707096705
37,29.264663902830534
38,31.44671827149068
39,31.710438067398172
40,30.88697639801694
41,28.089291975817332
42,29.19102597213339
43,30.417183916077306
44,32.59645784208942
45,31.31186250573137
46,30.988992978495844
47,32.09563803807214
48,31.723731136986544
49,31.814985628534487
50,30.943503158476915
51,28.403120002406013
52,30.516857106692896
53,29.722549202585924
54,27.59805957812773
55,25.308522586593085
56,33.31834586162046
57,33.780845587955355
58,34.1073444434528
59,33.50779223361542
60,32.76211037877488
61,32.75327027901085
62,31.800165583206308
63,32.63383160518458
64,31.5430313977771
65,31.70793888443768
66,29.741581456607946
67,30.39798453584126
68,28.91725336022546
69,26.331988475375567
70,37.31739186051186
71,36.786474815266956
72,36.924981183312866
73,38.6440643502624
74,38.16569745067682
75,34.039880810921375
76,35.41038877366702
77,34.44486768831467
78,33.42289784636705
79,31.513860714485986
80,27.890684642494534
81,28.730633622990354
82,27.83923420095107
83,29.124668592008618
84,39.057995606998475
85,39.46476474084193
86,39.00380183008565
87,39.04131694567923
88,40.915527462595946
89,38.25804202738112
90,35.87961257102137
91,37.29936682508992
92,35.93387674551849
93,34.43272883474151
94,29.915029806892335
95,31.16877070274313
96,28.196988500451425
97,29.740562092769096
98,27.84033629658751
99,41.9081970411753
100,44.83748763748281
101,44.138476765283485
102,43.63104965999298
103,42.272056086845566
104,38.41363848262205
105,40.7306523022541
106,37.69145985195337
107,36.72895042504649
108,33.34008793424914
109,30.682264030934903
110,30.177705334483562
111,27.94529637394021
112,30.48918270896479
113,33.260960073170054
114,46.857848442471095
115,45.71941520475775
116,45.12022856758904
117,43.17466304602249
118,44.42654520004794
119,42.30359235033916
120,42.189065032494
121,40.98993124657966
122,41.08569912647653
123,37.90243244505547
124,35.62573556946802
125,30.415627359911923
126,29.749271672937994
127,29.792042011661124
128,28.745250279075663
129,45.9568467353165
130,44.85384018187233
131,44.02453135867859
132,43.377290564041004
133,42.29324492818591
134,41.88684941928926
135,40.44229403344559
136,41.732073233296774
137,41.26888629518959
138,35.689147610719374
139,35.14410867102242
140,34.1355535743844
141,30.331699215696517
142,28.86788904215223
143,29.630446819827228
144,46.69978285501202
145,46.23512910534373
146,45.231307861160985
147,43.264742302545756
